GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
1400000US06037602801,"Census Tract 6028.01, Los Angeles County, California",31477,74500,21277
1400000US06037602802,"Census Tract 6028.02, Los Angeles County, California",76810,77216,76395
1400000US06037602900,"Census Tract 6029, Los Angeles County, California",59375,84861,49327
1400000US06037603004,"Census Tract 6030.04, Los Angeles County, California",63029,64625,61000
1400000US06037603005,"Census Tract 6030.05, Los Angeles County, California",61438,76830,48150
1400000US06037603006,"Census Tract 6030.06, Los Angeles County, California",75756,85714,53750
1400000US06037603007,"Census Tract 6030.07, Los Angeles County, California",58715,102521,40600
1400000US06037603008,"Census Tract 6030.08, Los Angeles County, California",51304,119756,39007
1400000US06037603101,"Census Tract 6031.01, Los Angeles County, California",57568,114107,43628
1400000US06037603102,"Census Tract 6031.02, Los Angeles County, California",62527,91618,49201
1400000US06037603200,"Census Tract 6032, Los Angeles County, California",82237,83092,80875
1400000US06037603301,"Census Tract 6033.01, Los Angeles County, California",63362,67200,58214
1400000US06037603302,"Census Tract 6033.02, Los Angeles County, California",53173,70592,32188
1400000US06037603400,"Census Tract 6034, Los Angeles County, California",66786,94375,50066
1400000US06037603500,"Census Tract 6035, Los Angeles County, California",93361,95000,55938
1400000US06037603600,"Census Tract 6036, Los Angeles County, California",77865,92000,67780
1400000US06037603702,"Census Tract 6037.02, Los Angeles County, California",96964,101196,-
1400000US06037603703,"Census Tract 6037.03, Los Angeles County, California",92364,103015,78875
1400000US06037603705,"Census Tract 6037.05, Los Angeles County, California",68611,78049,65459
1400000US06037603706,"Census Tract 6037.06, Los Angeles County, California",42927,-,42591
1400000US06037603801,"Census Tract 6038.01, Los Angeles County, California",62866,102111,53086
1400000US06037603802,"Census Tract 6038.02, Los Angeles County, California",73602,100625,55278
1400000US06037603901,"Census Tract 6039.01, Los Angeles County, California",64886,90000,52143
1400000US06037603902,"Census Tract 6039.02, Los Angeles County, California",48258,97250,46437
1400000US06037604001,"Census Tract 6040.01, Los Angeles County, California",72147,100323,65495
1400000US06037604002,"Census Tract 6040.02, Los Angeles County, California",63980,74813,57344
1400000US06037604101,"Census Tract 6041.01, Los Angeles County, California",62201,91524,54675
1400000US06037604102,"Census Tract 6041.02, Los Angeles County, California",89347,145417,72467
1400000US06037604200,"Census Tract 6042, Los Angeles County, California",65625,93050,46466
1400000US06037609900,"Census Tract 6099, Los Angeles County, California",77059,89792,70341
1400000US06037620001,"Census Tract 6200.01, Los Angeles County, California",132153,153321,113333
1400000US06037620002,"Census Tract 6200.02, Los Angeles County, California",115000,164028,64188
1400000US06037620101,"Census Tract 6201.01, Los Angeles County, California",101389,140385,92731
1400000US06037620102,"Census Tract 6201.02, Los Angeles County, California",123167,101000,130174
1400000US06037620201,"Census Tract 6202.01, Los Angeles County, California",135136,160833,115268
1400000US06037620301,"Census Tract 6203.01, Los Angeles County, California",179032,207813,171250
1400000US06037620303,"Census Tract 6203.03, Los Angeles County, California",170694,236420,94796
1400000US06037620305,"Census Tract 6203.05, Los Angeles County, California",124787,123992,147857
1400000US06037620400,"Census Tract 6204, Los Angeles County, California",135455,140000,115972
1400000US06037620501,"Census Tract 6205.01, Los Angeles County, California",134570,176250,101250
1400000US06037620521,"Census Tract 6205.21, Los Angeles County, California",112964,147697,81587
1400000US06037620522,"Census Tract 6205.22, Los Angeles County, California",127269,135625,115125
1400000US06037620601,"Census Tract 6206.01, Los Angeles County, California",92135,109000,78324
1400000US06037620602,"Census Tract 6206.02, Los Angeles County, California",134118,138194,130461
1400000US06037620701,"Census Tract 6207.01, Los Angeles County, California",128466,168707,91023
1400000US06037620703,"Census Tract 6207.03, Los Angeles County, California",185204,207096,126928
1400000US06037620704,"Census Tract 6207.04, Los Angeles County, California",161462,170805,109038
1400000US06037620801,"Census Tract 6208.01, Los Angeles County, California",173462,196299,86447
1400000US06037620802,"Census Tract 6208.02, Los Angeles County, California",131821,"250,000+",119875
1400000US06037620901,"Census Tract 6209.01, Los Angeles County, California",215156,230639,172083
1400000US06037620904,"Census Tract 6209.04, Los Angeles County, California",185119,189643,165938
1400000US06037621001,"Census Tract 6210.01, Los Angeles County, California",139063,211042,97422
1400000US06037621005,"Census Tract 6210.05, Los Angeles County, California",142821,153958,136311
1400000US06037621102,"Census Tract 6211.02, Los Angeles County, California",161667,158125,175714
1400000US06037621104,"Census Tract 6211.04, Los Angeles County, California",138906,217813,120268
1400000US06037621201,"Census Tract 6212.01, Los Angeles County, California",115632,116452,115208
1400000US06037621204,"Census Tract 6212.04, Los Angeles County, California",95417,129018,90208
1400000US06037621301,"Census Tract 6213.01, Los Angeles County, California",110243,130577,76573
1400000US06037621324,"Census Tract 6213.24, Los Angeles County, California",96392,129250,94435
1400000US06037621326,"Census Tract 6213.26, Los Angeles County, California",101406,157560,94870
1400000US06037621400,"Census Tract 6214, Los Angeles County, California",109485,124167,99450
1400000US06037650001,"Census Tract 6500.01, Los Angeles County, California",92674,109792,36701
1400000US06037650003,"Census Tract 6500.03, Los Angeles County, California",71330,82321,68250
1400000US06037650004,"Census Tract 6500.04, Los Angeles County, California",91375,141135,58684
1400000US06037650101,"Census Tract 6501.01, Los Angeles County, California",94481,113224,61607
1400000US06037650102,"Census Tract 6501.02, Los Angeles County, California",94000,121528,72083
1400000US06037650200,"Census Tract 6502, Los Angeles County, California",103797,110163,94219
1400000US06037650300,"Census Tract 6503, Los Angeles County, California",84612,105990,56771
1400000US06037650401,"Census Tract 6504.01, Los Angeles County, California",155583,163000,109063
1400000US06037650501,"Census Tract 6505.01, Los Angeles County, California",119449,119853,-
1400000US06037650502,"Census Tract 6505.02, Los Angeles County, California",122240,123818,100403
1400000US06037650603,"Census Tract 6506.03, Los Angeles County, California",76897,98462,65256
1400000US06037650604,"Census Tract 6506.04, Los Angeles County, California",65712,143977,62418
1400000US06037650605,"Census Tract 6506.05, Los Angeles County, California",82250,119306,70119
1400000US06037650606,"Census Tract 6506.06, Los Angeles County, California",67440,85234,67351
1400000US06037650607,"Census Tract 6506.07, Los Angeles County, California",116406,119861,92981
1400000US06037650701,"Census Tract 6507.01, Los Angeles County, California",117500,122083,108125
1400000US06037650702,"Census Tract 6507.02, Los Angeles County, California",122692,122054,123750
1400000US06037650801,"Census Tract 6508.01, Los Angeles County, California",115505,110764,116383
1400000US06037650802,"Census Tract 6508.02, Los Angeles County, California",91250,75313,109200
1400000US06037650901,"Census Tract 6509.01, Los Angeles County, California",75938,98512,55085
1400000US06037650903,"Census Tract 6509.03, Los Angeles County, California",91542,122870,64134
1400000US06037650904,"Census Tract 6509.04, Los Angeles County, California",98846,104183,84016
1400000US06037651001,"Census Tract 6510.01, Los Angeles County, California",105417,130208,44358
1400000US06037651002,"Census Tract 6510.02, Los Angeles County, California",92344,125948,80846
1400000US06037651101,"Census Tract 6511.01, Los Angeles County, California",98317,131010,83125
1400000US06037651102,"Census Tract 6511.02, Los Angeles County, California",77958,87895,68496
1400000US06037651201,"Census Tract 6512.01, Los Angeles County, California",132031,151359,-
1400000US06037651221,"Census Tract 6512.21, Los Angeles County, California",84625,146528,70556
1400000US06037651222,"Census Tract 6512.22, Los Angeles County, California",90963,104595,85451
1400000US06037651302,"Census Tract 6513.02, Los Angeles County, California",126806,143750,93240
1400000US06037651304,"Census Tract 6513.04, Los Angeles County, California",97940,133158,95350
1400000US06037651401,"Census Tract 6514.01, Los Angeles County, California",82500,107750,-
1400000US06037651402,"Census Tract 6514.02, Los Angeles County, California",71512,122969,45885
1400000US06037670001,"Census Tract 6700.01, Los Angeles County, California",71361,87258,63042
1400000US06037670002,"Census Tract 6700.02, Los Angeles County, California",83791,123500,65667
1400000US06037670003,"Census Tract 6700.03, Los Angeles County, California",81691,104402,74063
1400000US06037670101,"Census Tract 6701.01, Los Angeles County, California",64211,170625,24798
1400000US06037670102,"Census Tract 6701.02, Los Angeles County, California",71574,101528,55511
1400000US06037670201,"Census Tract 6702.01, Los Angeles County, California",141914,150804,70556
1400000US06037670202,"Census Tract 6702.02, Los Angeles County, California",206964,209219,201786
1400000US06037670324,"Census Tract 6703.24, Los Angeles County, California",207096,216250,91188
1400000US06037670326,"Census Tract 6703.26, Los Angeles County, California",157130,160592,-
1400000US06037670328,"Census Tract 6703.28, Los Angeles County, California",204179,245500,133194
1400000US06037670405,"Census Tract 6704.05, Los Angeles County, California",112708,140795,54500
1400000US06037670406,"Census Tract 6704.06, Los Angeles County, California",194236,194444,-
1400000US06037670407,"Census Tract 6704.07, Los Angeles County, California",100938,149067,93816
1400000US06037670413,"Census Tract 6704.13, Los Angeles County, California",153145,147847,158073
1400000US06037670416,"Census Tract 6704.16, Los Angeles County, California",110625,162000,82546
1400000US06037670417,"Census Tract 6704.17, Los Angeles County, California",143750,134625,196875
1400000US06037670418,"Census Tract 6704.18, Los Angeles County, California",169345,167904,210691
1400000US06037670500,"Census Tract 6705, Los Angeles County, California",250000,248438,"250,000+"
1400000US06037670603,"Census Tract 6706.03, Los Angeles County, California",209500,167045,"250,000+"
1400000US06037670604,"Census Tract 6706.04, Los Angeles County, California",151538,141161,177708
1400000US06037670701,"Census Tract 6707.01, Los Angeles County, California",153302,166667,106568
1400000US06037670702,"Census Tract 6707.02, Los Angeles County, California",182260,203321,129338
1400000US06037700101,"Census Tract 7001.01, Los Angeles County, California",70045,206014,69503
1400000US06037700102,"Census Tract 7001.02, Los Angeles County, California",37014,"250,000+",36972
1400000US06037700200,"Census Tract 7002, Los Angeles County, California",74605,148667,68828
1400000US06037700300,"Census Tract 7003, Los Angeles County, California",80381,89236,79798
1400000US06037700400,"Census Tract 7004, Los Angeles County, California",82308,129250,80650
1400000US06037700501,"Census Tract 7005.01, Los Angeles County, California",69477,120625,62331
1400000US06037700502,"Census Tract 7005.02, Los Angeles County, California",83971,131508,62857
1400000US06037700600,"Census Tract 7006, Los Angeles County, California",173672,193750,77895
1400000US06037700700,"Census Tract 7007, Los Angeles County, California",194154,223750,-
1400000US06037700801,"Census Tract 7008.01, Los Angeles County, California",80417,95156,66910
1400000US06037700802,"Census Tract 7008.02, Los Angeles County, California",89398,149135,78783
1400000US06037700901,"Census Tract 7009.01, Los Angeles County, California",82857,173438,72793
1400000US06037700902,"Census Tract 7009.02, Los Angeles County, California",79037,184159,67021
1400000US06037701000,"Census Tract 7010, Los Angeles County, California",107695,"250,000+",83616
1400000US06037701201,"Census Tract 7012.01, Los Angeles County, California",209083,245179,106441
1400000US06037701202,"Census Tract 7012.02, Los Angeles County, California",138857,157143,123125
1400000US06037701302,"Census Tract 7013.02, Los Angeles County, California",78542,-,77125
